:START_ID,:END_ID,:TYPE
"Alex straightened in his seat and said 'I agree, Agent Cruz. Protocol is paramount,' meeting Taylor's steely gaze.",bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
"Jordan tilted their head ever so slightly, their eyes revealing a spark of understanding.",bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
everyone,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
binders,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Paranormal Military Squad,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
briefing room,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
last transmission logs,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
The Paranormal Military Squad's elite convened in the room.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Agent Alex Mercer scanned the projectors outlining their impending odyssey into Operation: Dulce.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
He seemed dwarfed by the enormity of the sterile briefing room.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Taylor Cruz asked if Agent Mercer was having second thoughts.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex scanned the projectors with dulled eyes.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex flickered a strained smile.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex said he was just trying to soak in all the details.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
The compliance in his tone was unsettling to himself.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Jordan Hayes narrowed their eyes.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Jordan Hayes offered a supportive nod.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Jordan Hayes said details are imperative.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
They knew the mission required clear-headedness.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Sam Rivera said they had combed through the last transmission logs.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Sam Rivera added that Alex and Jordan could make sense of the anomalies.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Sam Rivera said Alex and Jordan could make sense of the anomalies.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Taylor said speculation is counter-productive.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
They have protocols for a reason.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
The words 'counter-productive' hung in the air.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex felt the weight of his compliance conflicting with his natural inclination.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex straightened in his seat.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
He felt the weight of his compliance conflicting with his natural inclination.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex said protocol is paramount.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
He straightened in his seat.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Alex met Taylor's steely gaze.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Jordan tilted their head slightly.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Jordan's eyes revealed a spark of understanding.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
A quiet resolve took form within Alex.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
"With dulled eyes, he scanned the projectors outlining their impending odyssey into Operation: Dulce.",bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
he,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Taylor Cruz's voice laced with an edge demanded attention.,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Taylor Cruz's voice,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
his folder's corner,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
"The compliance in his tone was unsettling, even to himself.",bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
his tone,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
"A comfortable silence lingered briefly before Sam Rivera added, 'I've combed through the last transmission logs.'",bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
"The words 'counter-productive' seemed to hang in the air, a tacit reprimand directed at Alex.",bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
words 'counter-productive',bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
his seat,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
Taylor's steely gaze,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
their binders,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
their interactions,bef2add5a6e16f6f579afec607145bce2197a8339eb7052557fecdfb4dee4d62,Source
intercepted comm signals from Dulce,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
mission dynamics,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
team,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Team,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Dulce base,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera sat alone in a cramped office.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Their fingers paused over the keyboard as they leaned back in the chair.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer arrived unexpectedly.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera was surprised by the unexpected arrival.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer asked Sam Rivera for a minute.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera agreed to talk.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer hesitated and weighed his words.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
He was concerned about the silence from Dulce.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer expressed concern about the silence from Dulce.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera reflected on the limits of numbers.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They shared a moment of understanding with Alex.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex turned to leave.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera's eyes drifted back to the screens.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They saw the screens as windows into the challenge.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer stood gazing at the concealed elevator.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan Hayes approached him.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan Hayes approached Alex Mercer.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan Hayes remarked on the mission's nature.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer felt like they were being pulled into someone else's game.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan Hayes agreed and mentioned the lack of choice.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Taylor Cruz interjected sharply.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They needed to secure positions.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer responded with a steadier voice.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
He gripped his rifle with a newfound firmness.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer gripped his rifle with a newfound firmness.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
He said 'Let's proceed.',cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex Mercer said 'Let's proceed.',cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They congregated at the elevator.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera piped in with a tone of balanced levity.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Their laughter served as a brief respite.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They stepped into the elevator.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The doors closed with a silent hiss.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They descended into the darkness together.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Dr. Jordan Hayes mused over the layers of data.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They felt reluctance to accept other possibilities.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Dr. Jordan Hayes felt reluctance to accept other possibilities.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex caught Jordan's reflective gaze.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex leaned in and spoke to Jordan.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
He wanted to compliment Jordan's analytical edge.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex complimented Jordan's analytical edge.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
"Jordan said 'Thank you, Alex.'",cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The elevator shuddered.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
There was a vibration from the walls.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Taylor Cruz ordered a systems check.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Every agent checked their gear.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera made a half-jest about Martians.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The team chuckled.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
"The elevator came to a halting, eerie calm.",cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The group stepped off.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They stood in a tight pack.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They shared a cautious glance.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They fanned out into the unknown.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The thick metal door closed behind them.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The team advanced into Dulce base.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Their torch beams sliced through the air.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Their eyes danced across lines of code and intercepted comm signals.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex's shadow loomed over Sam's workspace.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam craned their neck upwards.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex asked if Sam had a minute.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam said always and swiveled to face Alex.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex hesitated and weighed his words.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex spoke about technology and intuition.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam regarded Alex for a moment.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam mirrored thought about intuition.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Their shared silence held a newfound understanding.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam's eyes drifted back to the screens.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan Hayes approached Mercer.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan remarked about the mission.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex turned and replied about being pawns.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan gave a short nod.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan expressed feeling since the briefing.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Their eyes locked with Alex's.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex responded and gripped his rifle.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam Rivera piped in with a joke.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They laughed.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The doors closed and they descended.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Dr. Jordan Hayes mused over layers of data.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Alex caught Jordan's gaze and leaned in.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Jordan thanked Alex.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
A shudder ran through the elevator.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Cruz reacted and ordered a systems check.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam's voice crackled with a joke.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
They chuckled.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The elevator came to a halt.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The team advanced into the depths of Dulce.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
The weight of the metal door closing reverberated.,cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
"Agents Alex Mercer, Jordan Hayes, Taylor Cruz, and Sam Rivera proceeded.",cc1c4d2123ab5542efbc42bd59c219ceb64480ed05becacccd791785621db456,Source
Sam,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
electronic anomalies,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
panel,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
drone,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
mainframe room,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
secrets,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor Cruz set a brisk pace.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor Cruz ordered comms checks every thirty seconds.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Sam offered a murmured 'Copy that'.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Jordan Hayes paused at an innocuous looking panel.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Jordan Hayes called Mercer and Rivera to come see the panel.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Alex joined Jordan's side to examine the panel.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Jordan explained the panel was a recent addition.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The panel appeared out of place to the trained eye.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Alex could respond.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
An approaching drone cut through their muffled exchange.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor heard the commotion.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor looped back to the group.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The drone came into view with sensors locked onto the group.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor warned that they couldn't afford to attract attention.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Sam reacted to the drone.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Sam's tech-savvy mind was steps ahead.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Sam used their gadgetry to interfere with the drone.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The drone drifted away.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The crew exhaled with relief.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Cruz directed the team to move out.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Cruz told Rivera to keep that trick handy.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The team pressed onward.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Every agent held a renewed sense of wariness.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The base was alive in a way they hadn't fully anticipated.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The team converged upon a central hub.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The doors to the mainframe room stood ajar.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
They fortified their resolve and stepped through the threshold.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Darkness uncovered steel doors with warnings that spoke of top secrets and mortal dangers.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
darkness,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
steel doors,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor Cruz stepped firmly into the role of de facto leader and set a brisk pace.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
"Taylor ordered 'Eyes sharp, people. Comms check, every thirty seconds.'",72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Sam offered a murmured 'Copy that' while fiddling with a handheld device.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
handheld device,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
"Jordan said 'Mercer, Rivera, come see this.'",72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Rivera,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Alex joined Jordan's side and examined the panel.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Jordan explained their reasoning as Sam approached.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Jordan said 'This panel is a recent addition — covering something they didn't want found.',72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
The soft whir of an approaching drone cut through their muffled exchange.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Taylor had looped back upon hearing the commotion.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
Cruz's voice trailed off as the small airborne device came into view.,72fe8dd4b56f64d348e7152f12c58279c523815c08cadbedc206c081c02791c4,Source
